LncRNA name	Synonyms	geneid	ensg_name	refseq_id	position	cancer type	ICD-0-3	ICD-0-3	methods	sample	regulated	function description	pubmed id	year	title	drug	circulating	survival	miR	variant	TF	methylation
OIP5-AS1	OIP5-AS1, cyrano, linc-OIP5	729082	ENSG00000247556	NR_026757	GRCh38_15:41283990-41309737	glioma	NA	M9380/3	qPCR, Luciferase reporter assay, Western blot, RIP	glioma tissues, cell lines (HEK-293T, U87 and U251)	up-regulated	Over-expression of PIWIL3, piR-30188 and miR-367-3p or knockdown of OIP5-AS1 resulted in inhibition of glioma cells progression.OIP5-AS1 knockdown or miR-367-3p over-expression contributed to a decrease in CEBPA (CCAAT/enhancer binding protein alpha) protein. Furthermore, CEBPA was detected as a target of miR-367-3p and played an oncogenic role in glioma. knockdown of OIP5-AS1 combined with over-expression of PIWIL3 and miR-367-3p resulted in tumor regression and extended survival in vivo. 	29464001	2018	PIWIL3/OIP5-AS1/miR-367-3p/CEBPA feedback loop regulates the biological behavior of glioma cells.	0	0	1	0	0	0	0
OIP5-AS1	OIP5-AS1, cyrano, linc-OIP5	729082	ENSG00000247556	NR_026757	GRCh38_15:41283990-41309737	oral cancer	C06.9	NA	RNA-seq, Microarray, qPCR, Luciferase reporter assay, RIP etc.	oral tumor tissues, cell lines (FANTOM 5 and GTEx)	up-regulated	Expression analysis showed downregulation of miRNAs and upregulation of downstream target genes, particularly in undifferentiated tumors with high-level of OIP5-AS1 suggesting OIP5-AS1 could post-transcriptionally modulate the downstream target genes. Further, systematic epigenomic analysis of OIP5-AS1 promoter revealed binding motifs for MYC, NANOG and KLF4 suggesting that OIP5-AS1 could be transactivated by stemness-associated transcription factors in cancer. OIP5-AS1 overexpression in undifferentiated oral tumors may be suggestive of enhanced cancer stemness, and consequently, poor clinical outcome.	29728583	2018	LncRNA OIP5-AS1 is overexpressed in undifferentiated oral tumors and integrated analysis identifies as a downstream effector of stemness-associated transcription factors.	0	0	0	0	0	1	0
OIP5-AS1	OIP5-AS1, cyrano, linc-OIP5	729082	ENSG00000247556	NR_026757	GRCh38_15:41283990-41309737	lung cancer	C34	NA	qPCR, Western blot, RIP, Luciferase reporter assay, etc.	lung cancer tissues, cell lines (A54, H520)	up-regulated	OIP5-AS1 overexpression increased lung cancer cell proliferation in vitro. Further investigation revealed that OIP5-AS1 functions as a competing endogenous RNA of miR-378a-3p. MiR-378a-3p overexpression inhibited cell proliferation and caused proliferation-associated proteins CDK4 and CDK6 to decrease in A549 cells. Patients in the OIP5-AS1low group achieved higher total survival than in the OIP5-AS1high.	29897167	2018	Long non-coding RNA OIP5-AS1 promotes proliferation of lung cancer cells and leads to poor prognosis by targeting miR-378a-3p.	0	0	1	1	0	0	0
OIP5-AS1	OIP5-AS1, cyrano, linc-OIP5	729082	ENSG00000247556	NR_026757	GRCh38_15:41283990-41309737	colorectal cancer	C19.9	NA	Microarray, qPCR, Western blot etc.	colorectal cancer tissues, cell line (LoVo, SW480 and HEK293T)	down-regulated	LncRNA OIP5-AS1 and DYRK1A were down-regulated in radio-resistant CRC cell lines. OIP5-AS1 suppressed the expression of miR-369-3p, thus up-regulating  DYRK1A, the downstream gene of miR-369-3p. OIP5-AS1 and DYRK1A impaired cell clonogenic survival and promoted cell apoptosis after irradiation, improving radiosensitivity of CRC cells. Low expression of OIP5-AS1 and DYRK1A was correlated with a poor survival.	29773344	2018	LncRNA OIP5-AS1 regulates radioresistance by targeting DYRK1A through miR-369-3p in colorectal cancer cells.	0	0	1	1	0	0	0
OR3A4	OR3A4P, OLFRA05, OLFRA06, OR17-13, OR17-16, OR17-24, OR17-25, OR24, OR25, OR3A4, OR3A5P	NA	NA	NA	NA	breast cancer	C50	NA	qPCR, Western blot	breast cancer tissues, cell lines (MDA-MB-231, MDAMB-468, MCF-7, MCF-10A)	up-regulated	OR3A4 was over-expressed in human breast cancer tissues and cell lines and associated with clinicopathological characteristics.the silence of OR3A4 suppressed the proliferation of breast cancer cells by influencing cell cycle and apoptosis, and repressed the cell metastasis via EMT.all the functions of OR3A4 in breast cancer were realized in the transcriptional level.OR3A4 played a significant role in BC and might be regarded as a specific biomarker for poor prognosis.  	29031201	2017	Long non-coding RNA OR3A4 promotes proliferation and migration in breast cancer.	0	0	1	0	0	0	0
OR3A4	OR3A4P, OLFRA05, OLFRA06, OR17-13, OR17-16, OR17-24, OR17-25, OR24, OR25, OR3A4, OR3A5P	NA	NA	NA	NA	gastric cancer	C16	NA	microarray, qPCR, Western blot, RIP, Flow cytometry assay etc.	gastric cancer tissues, cell lines (MKN-45, SGC-7901, NCI-N87, SNU-1, SNU-16, AGS, and KATO-III)	up-regulated	Significant overexpression of OR3A4 was observed in the cancer group compared with healthy controls. The expression levels of lncRNA OR3A4 were significantly associated with lymphatic metastasis, the depth of cancer invasion, and distal metastasis in 130 paired gastric cancer tissues. The effects of OR3A4 were assessed by overexpressing and silencing OR3A4 in gastric cancer cells. OR3A4 promoted cancer cell growth, angiogenesis, metastasis, and tumorigenesis in vitro and in vivo.	26863570	2016	Long noncoding RNA OR3A4 promotes metastasis and tumorigenicity in gastric cancer.	0	0	1	0	0	0	0
OTUB1-isoform2	OTUB1, HSPC263, OTB1, OTU1	NA	NA	NA	NA	gastric cancer	C16	NA	qPCR, Western blot, Cell proliferation assay, Cell invasion assay etc.	gastric cancer tissues, cell lines (AGS, MGC-803, MKN45, NCI-N87 and HGC-27)	up-regulated	The OTUB1-isoform 2 expression levels were higher in the gastric cancer samples than in the paratumorous gland samples. OTUB1-isoform 2 expression levels tightly correlated with tumor size, lymph node metastasis and TNM staging. Higher OTUB1-isoform 2 expression levels led to significantly poorer OS and DFS rates, and a multivariate analysis revealed that OTUB1-isoform 2 was an independent risk factor for DFS. Ectopic overexpression of OTUB1-isoform 2 in gastric cancer cells stimulated proliferation by inducing G1-S transition, suppression of cell apoptosis and promotion of tumor cell invasion and migration.	27019636	2016	Upregulation of the Non-Coding RNA OTUB1-isoform 2 Contributes to Gastric Cancer Cell Proliferation and Invasion and Predicts Poor Gastric Cancer Prognosis.	0	0	1	0	0	0	0
OVAL	OVAAL, LINC01131, OVAL	148756	ENSG00000236719	NR_125716	GRCh38_1:180558976-180566518	ovarian cancer	C56.9	NA	RNA-seq, qPCR etc.	ovarian cancer tissues	down-regulated	OVAL expression was low or absent in both normal fallopian tube and in the majority of tumors, including most cases with wide 1q amplification. However, focal amplification of the OVAL locus coincided strikingly with OVAL transcriptional activation. 	24265805	2013	Comprehensive analysis of long non-coding RNAs in ovarian cancer reveals global patterns and targeted DNA amplification.	0	0	0	0	1	0	0
P14695	NA	NA	NA	NA	NA	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	primary HCC tissues, cell lines (MHCC97H, MHCC97L)	up-regulated	We randomly selected 15 out of the significantly differentially expressed LncRNAs in P3 and validated their expression levels in cell lines (MHCC97H and MHCC97L). In those LncRNAs, nine of which were upregulated (P23099, P8860, P14695, P28210, P4091, P6391, P24363, P8725, and P9745) and six of which were downregulated (P6488, P700, P8611, P16984, P19780, and P33863).	25900874	2015	Invasion and metastasis-related long noncoding RNA expression profiles in hepatocellular carcinoma.	0	0	0	0	0	0	0
P15INK4B	CDKN2B, CDK4I, INK4B, MTS2, P15, TP15, p15INK4b	NA	NA	NA	NA	ovarian cancer	C56.9	NA	qPCR, Western blot etc.	cell lines (SKOV3, OVCAR3, A2780, Hey, OVCA429, and OVCA433)	down-regulated	we evaluated ANRIL expression in epithelial ovarian cancer (EOC) and defined its clinical implications and biological functions. ANRIL was overexpressed in EOC tissues relative to normal controls. Overexpression correlated with advanced International Federation of Gynecologists and Obstetricians stage and high histological grade. Multivariate analysis indicated that ANRIL is an independent prognostic factor for overall survival in EOC. Gain- and loss-of-function experiments demonstrated that ANRIL promotes EOC cell proliferation both in vitro and in vivo. The proliferative effect was linked to the promotion of cell cycle progression and inhibition of apoptosis and senescence. Down-regulation of P15INK4B and up-regulation of Bcl-2 by ANRIL may partially explain ANRIL-induced EOC cell proliferation	27095571	2016	The long non-coding RNA ANRIL promotes proliferation and cell cycle progression and inhibits apoptosis and senescence in epithelial ovarian cancer	0	0	1	0	0	0	0
P16984	NA	NA	NA	NA	NA	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	primary HCC tissues, cell lines (MHCC97H, MHCC97L)	down-regulated	We randomly selected 15 out of the significantly differentially expressed LncRNAs in P3 and validated their expression levels in cell lines (MHCC97H and MHCC97L). In those LncRNAs, nine of which were upregulated (P23099, P8860, P14695, P28210, P4091, P6391, P24363, P8725, and P9745) and six of which were downregulated (P6488, P700, P8611, P16984, P19780, and P33863).	25900874	2015	Invasion and metastasis-related long noncoding RNA expression profiles in hepatocellular carcinoma.	0	0	0	0	0	0	0
P19780	NA	NA	NA	NA	NA	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	primary HCC tissues, cell lines (MHCC97H, MHCC97L)	down-regulated	We randomly selected 15 out of the significantly differentially expressed LncRNAs in P3 and validated their expression levels in cell lines (MHCC97H and MHCC97L). In those LncRNAs, nine of which were upregulated (P23099, P8860, P14695, P28210, P4091, P6391, P24363, P8725, and P9745) and six of which were downregulated (P6488, P700, P8611, P16984, P19780, and P33863).	25900874	2015	Invasion and metastasis-related long noncoding RNA expression profiles in hepatocellular carcinoma.	0	0	0	0	0	0	0
P23099	NA	NA	NA	NA	NA	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	primary HCC tissues, cell lines (MHCC97H, MHCC97L)	up-regulated	We randomly selected 15 out of the significantly differentially expressed LncRNAs in P3 and validated their expression levels in cell lines (MHCC97H and MHCC97L). In those LncRNAs, nine of which were upregulated (P23099, P8860, P14695, P28210, P4091, P6391, P24363, P8725, and P9745) and six of which were downregulated (P6488, P700, P8611, P16984, P19780, and P33863).	25900874	2015	Invasion and metastasis-related long noncoding RNA expression profiles in hepatocellular carcinoma.	0	0	0	0	0	0	0
P24363	NA	NA	NA	NA	NA	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	primary HCC tissues, cell lines (MHCC97H, MHCC97L)	up-regulated	We randomly selected 15 out of the significantly differentially expressed LncRNAs in P3 and validated their expression levels in cell lines (MHCC97H and MHCC97L). In those LncRNAs, nine of which were upregulated (P23099, P8860, P14695, P28210, P4091, P6391, P24363, P8725, and P9745) and six of which were downregulated (P6488, P700, P8611, P16984, P19780, and P33863).	25900874	2015	Invasion and metastasis-related long noncoding RNA expression profiles in hepatocellular carcinoma.	0	0	0	0	0	0	0
P28210	NA	NA	NA	NA	NA	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	primary HCC tissues, cell lines (MHCC97H, MHCC97L)	up-regulated	We randomly selected 15 out of the significantly differentially expressed LncRNAs in P3 and validated their expression levels in cell lines (MHCC97H and MHCC97L). In those LncRNAs, nine of which were upregulated (P23099, P8860, P14695, P28210, P4091, P6391, P24363, P8725, and P9745) and six of which were downregulated (P6488, P700, P8611, P16984, P19780, and P33863).	25900874	2015	Invasion and metastasis-related long noncoding RNA expression profiles in hepatocellular carcinoma.	0	0	0	0	0	0	0
P2RX5-TAX1BP3	NA	NA	ENSG00000257950	NA	GRCh38_17:3663063-3696194	glioblastoma	NA	M9440/3	Microarray, qPCR	glioblastoma tissues	differential expression	Using a high-throughput microarray, the present study identified a profile of 1,545 lncRNAs and 2,731 mRNAs that differed between GSCs and their non-differentiated counterparts.	27432080	2016	Differential long non-coding RNA and mRNA expression in differentiated human glioblastoma stem cells	0	0	0	0	0	0	0
P2RX7-V3	P2RX7, P2X7	NA	NA	NA	NA	uveal melanoma	C69.9	M8720/3	microarray, qPCR, RNAi etc.	cell lines (MUM2B, OM431, and 293T)	up-regulated	Here, we identified a transcriptional variant transcribed from the P2RX7 gene locus, named P2RX7-V3 (P2RX7 variant 3), which was expressed at a high level in UM cells. P2RX7-V3 silencing revealed that this variant acts as a necessary UM oncoRNA. Knockdown of P2RX7-V3 expression significantly suppressed tumor growth in vitro and in vivo.	27468714	2016	P2RX7-V3 is a novel oncogene that promotes tumorigenesis in uveal melanoma.	0	0	0	0	1	0	0
P33863	NA	NA	NA	NA	NA	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	primary HCC tissues, cell lines (MHCC97H, MHCC97L)	down-regulated	We randomly selected 15 out of the significantly differentially expressed LncRNAs in P3 and validated their expression levels in cell lines (MHCC97H and MHCC97L). In those LncRNAs, nine of which were upregulated (P23099, P8860, P14695, P28210, P4091, P6391, P24363, P8725, and P9745) and six of which were downregulated (P6488, P700, P8611, P16984, P19780, and P33863).	25900874	2015	Invasion and metastasis-related long noncoding RNA expression profiles in hepatocellular carcinoma.	0	0	0	0	0	0	0
p34822	NA	NA	NA	NA	NA	hepatocellular carcinoma	C22.0	M8170/3	qPCR	hepatocellular carcinoma tissues, cell lines (HepG2, Huh7, SMMC-7721, Hep3B, LO2)	up-regulated	we found that plasma lncRNA p34822 is dramatically up-regulated in HCC patients.we found that circulating lncRNAs are remarkably stable at room temperature,	28547580	2017	Identification of long non-coding RNA p34822 as a potential plasma biomarker for the diagnosis of hepatocellular carcinoma.	0	1	0	0	0	0	0
P4091	NA	NA	NA	NA	NA	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	primary HCC tissues, cell lines (MHCC97H, MHCC97L)	up-regulated	We randomly selected 15 out of the significantly differentially expressed LncRNAs in P3 and validated their expression levels in cell lines (MHCC97H and MHCC97L). In those LncRNAs, nine of which were upregulated (P23099, P8860, P14695, P28210, P4091, P6391, P24363, P8725, and P9745) and six of which were downregulated (P6488, P700, P8611, P16984, P19780, and P33863).	25900874	2015	Invasion and metastasis-related long noncoding RNA expression profiles in hepatocellular carcinoma.	0	0	0	0	0	0	0
P53RRA	NA	NA	NA	NA	NA	non small cell lung cancer	C34	M8046/3	qPCR, in vitro knockdown etc.	cell lines (HBE, MRC-5, A549, H358 ,H522 ), non-small-cell lung cancer tissue	down-regulated	P53RRA promoted ferroptosis and apoptosis by affecting transcription of several metabolic genes. Low P53RRA expression significantly correlated with poor survival in patients with breast and lung cancers harboring wild-type p53. 	29588351	2018	A G3BP1-interacting lncRNA promotes ferroptosis and apoptosis in cancer via nuclear sequestration of p53. 	1	0	1	0	0	0	0
P6391	NA	NA	NA	NA	NA	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	primary HCC tissues, cell lines (MHCC97H, MHCC97L)	up-regulated	We randomly selected 15 out of the significantly differentially expressed LncRNAs in P3 and validated their expression levels in cell lines (MHCC97H and MHCC97L). In those LncRNAs, nine of which were upregulated (P23099, P8860, P14695, P28210, P4091, P6391, P24363, P8725, and P9745) and six of which were downregulated (P6488, P700, P8611, P16984, P19780, and P33863).	25900874	2015	Invasion and metastasis-related long noncoding RNA expression profiles in hepatocellular carcinoma.	0	0	0	0	0	0	0
P6488	NA	NA	NA	NA	NA	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	primary HCC tissues, cell lines (MHCC97H, MHCC97L)	down-regulated	We randomly selected 15 out of the significantly differentially expressed LncRNAs in P3 and validated their expression levels in cell lines (MHCC97H and MHCC97L). In those LncRNAs, nine of which were upregulated (P23099, P8860, P14695, P28210, P4091, P6391, P24363, P8725, and P9745) and six of which were downregulated (P6488, P700, P8611, P16984, P19780, and P33863).	25900874	2015	Invasion and metastasis-related long noncoding RNA expression profiles in hepatocellular carcinoma.	0	0	0	0	0	0	0
